x,y
-0.34879360631965256,5.586554434132248
-0.6933759201035836,6.377074143454359
0.17056649958794048,5.834863245749888
-0.3910649589751651,6.401173106075575
0.4682264980489949,6.483307036781618
-0.7770894071669772,4.90467278262835
-0.3445306743562608,5.549359672229052
-0.28226969450765677,4.811701216367283
0.1818133203550825,5.778954760639002
-0.8455114472988611,4.654124027112743
0.007401129689031166,4.303362026639861
0.11098773515416095,2.998292097034103
0.11289109143263566,2.9235144071257384
0.6008596888396076,1.6168433472129982
-0.07042631616420542,2.571040354630692
0.5659495065749791,1.6084857136838364
-0.5619831037731697,2.1750482978679573
-1.6593722729707154,1.5033178523363357
-0.3249887161023722,2.6554583820658837
0.09124735790935112,3.003056821986612
-0.5405816669565443,2.2775494568408994
-1.4774596332572716,3.635471138556511
-0.3250127575990011,2.700035882513153
-0.7586541638831508,3.8849977019764275
-0.008921182151433837,4.242133497545596
-0.7352825098210949,3.938454365425774
-0.8796397000387639,4.6111597532026725
-1.471929389600528,3.6819151919668194
-0.3658826380003388,5.543223574754405
-0.8804700563454075,4.66888702304099
-0.30597559096071775,4.815348521420992
-0.32748585467036717,5.245200447483535
-0.008203351429603212,4.298240629044134
-0.8263816205194808,4.913682464979359
-0.7107169370171812,6.369500863644975
-0.37234235579080394,5.5978026898357545
0.15673430828489632,5.835477628201437
-1.582480945856161,6.462978161184044
-0.4341455988209493,6.396063594417276
-0.3938882636581802,5.592064830340182
-0.7310976147136278,6.374395341445232
-1.8425117726935907,5.964270007136993
-1.60507650570345,6.456597917575189
-0.4583988542396653,6.396682419326551
0.12637133564103653,5.8329063903815195
-0.3852015540576983,5.548536860530817
-1.0650298774248437,5.156438015398023
-0.9024796758410556,4.654006349243177
-0.02690359015655419,4.303782925879359
-0.3518488379454917,5.244692873058179
-0.8489773878254439,4.907921069909873
-1.8593590529875612,5.88147489502825
-1.5116525538295762,3.6797933512801158
-0.02539338584760653,4.257060651738877
-0.7798180158563673,3.9406290430033115
-0.9008562346604119,4.6079594704577005
-1.4952682975865574,3.6374532308655825
-0.778104241241645,3.8830784140273376
-0.5604652973794921,2.284585742757536
0.05634542657255959,2.9987169188692544
-1.6899198956892754,1.509434502243382
-0.568956071153405,2.1999100871930533
